auprc,auroc,f1,recall,window,feature_set,model,fold,n_train,n_test
0.42941441530922414,0.7457650050873748,0.4510964148973199,0.6328125,w4,F3,lr,1,22122,5416
0.3686985537404314,0.6755789152955515,0.3972911963882618,0.643510054844607,w4,F3,lr,2,22136,5402
0.4067200762263112,0.7148365493501722,0.4481976304512226,0.7383720930232558,w4,F3,lr,3,21904,5634
0.22805730065976174,0.623701646261875,0.2965054712319096,0.515970515970516,w4,F3,lr,4,21826,5712
0.3296766022413761,0.6900312061189494,0.40420137631293007,0.5734840698869476,w4,F3,lr,5,22164,5374
0.4365046465131762,0.731720470991291,0.46026097271648875,0.568359375,w4,F3,lgbm,1,22122,5416
0.39062962420715885,0.6910057645399317,0.41675320179993075,0.5502742230347349,w4,F3,lgbm,2,22136,5402
0.40934730102258077,0.7115205710086019,0.4480446927374302,0.6661129568106312,w4,F3,lgbm,3,21904,5634
0.2154581604844059,0.613300268976055,0.28350515463917525,0.47297297297297297,w4,F3,lgbm,4,21826,5712
0.37554101169703946,0.7085692240831932,0.41010830324909747,0.5837615621788284,w4,F3,lgbm,5,22164,5374
0.4304116151532031,0.7463304418900842,0.45065562456866803,0.6376953125,w4,F4_all,lr,1,22122,5416
0.369756815041212,0.6761140363831416,0.3947072072072072,0.6407678244972578,w4,F4_all,lr,2,22136,5402
0.40801144800164035,0.714799802014354,0.44602128737962493,0.7308970099667774,w4,F4_all,lr,3,21904,5634
0.22795354812057622,0.623636183048188,0.2948539638386648,0.5208845208845209,w4,F4_all,lr,4,21826,5712
0.32888880450925495,0.6895781651044925,0.40289330922242317,0.5724563206577595,w4,F4_all,lr,5,22164,5374
0.4345470301632377,0.731322908662056,0.4550221863654699,0.55078125,w4,F4_all,lgbm,1,22122,5416
0.39821714698470095,0.6926272535769514,0.4231427593289969,0.5648994515539305,w4,F4_all,lgbm,2,22136,5402
0.4007641728590504,0.7092842331430971,0.4490022172949002,0.6727574750830565,w4,F4_all,lgbm,3,21904,5634
0.20899218253705992,0.6037835229341966,0.27408829174664107,0.43857493857493857,w4,F4_all,lgbm,4,21826,5712
0.3731907244140895,0.710968473249446,0.4135145060594932,0.578622816032888,w4,F4_all,lgbm,5,22164,5374
0.429415308706806,0.7457652274376707,0.4510964148973199,0.6328125,w4,F4_structural_only,lr,1,22122,5416
0.3686941039068993,0.6755772178456305,0.3972911963882618,0.643510054844607,w4,F4_structural_only,lr,2,22136,5402
0.40671710197030964,0.7148352369453215,0.4481976304512226,0.7383720930232558,w4,F4_structural_only,lr,3,21904,5634
0.22805390945411397,0.6236998905435002,0.2965054712319096,0.515970515970516,w4,F4_structural_only,lr,4,21826,5712
0.32967481516845865,0.6900305055400611,0.40420137631293007,0.5734840698869476,w4,F4_structural_only,lr,5,22164,5374
0.43451735271416714,0.7363284585254439,0.45618153364632236,0.5693359375,w4,F4_structural_only,lgbm,1,22122,5416
0.3926997470421788,0.6902565525810574,0.4143100511073254,0.5557586837294333,w4,F4_structural_only,lgbm,2,22136,5402
0.4015050936644244,0.7106109807038989,0.44774477447744776,0.6760797342192691,w4,F4_structural_only,lgbm,3,21904,5634
0.21562694715740435,0.6118356236261504,0.28166969147005444,0.47665847665847666,w4,F4_structural_only,lgbm,4,21826,5712
0.38510807427274507,0.7096763722530594,0.4198359433258762,0.578622816032888,w4,F4_structural_only,lgbm,5,22164,5374
0.430408502006411,0.7463282183871243,0.45065562456866803,0.6376953125,w4,F4_behavioral_only,lr,1,22122,5416
0.36975740507692634,0.6761150972893422,0.3947072072072072,0.6407678244972578,w4,F4_behavioral_only,lr,2,22136,5402
0.4080156563390655,0.7148016768784263,0.44602128737962493,0.7308970099667774,w4,F4_behavioral_only,lr,3,21904,5634
0.22796519506656077,0.6236414502033122,0.2950591510090466,0.5208845208845209,w4,F4_behavioral_only,lr,4,21826,5712
0.3288299823904264,0.6895440702652601,0.40289330922242317,0.5724563206577595,w4,F4_behavioral_only,lr,5,22164,5374
0.43354633404242343,0.7336075579533812,0.45636509207365894,0.556640625,w4,F4_behavioral_only,lgbm,1,22122,5416
0.3977217747321871,0.6906064394460203,0.4151462994836489,0.5511882998171846,w4,F4_behavioral_only,lgbm,2,22136,5402
0.40953153627980987,0.7106336665591745,0.44463134286515277,0.6586378737541528,w4,F4_behavioral_only,lgbm,3,21904,5634
0.21262623559697946,0.6076591458379944,0.28296507483962935,0.4877149877149877,w4,F4_behavioral_only,lgbm,4,21826,5712
0.3730915592874889,0.70892138173773,0.4137678506041743,0.5806783144912642,w4,F4_behavioral_only,lgbm,5,22164,5374
0.42941783048049265,0.7457645603867827,0.4510964148973199,0.6328125,w4,F4_delta_only,lr,1,22122,5416
0.3686962361837535,0.6755774300268705,0.3972911963882618,0.643510054844607,w4,F4_delta_only,lr,2,22136,5402
0.40672032990030027,0.7148356119181359,0.4481976304512226,0.7383720930232558,w4,F4_delta_only,lr,3,21904,5634
0.2280541414797829,0.6236996397265895,0.2965054712319096,0.515970515970516,w4,F4_delta_only,lr,4,21826,5712
0.32976686517987386,0.6900937911663074,0.40420137631293007,0.5734840698869476,w4,F4_delta_only,lr,5,22164,5374
0.43491343938730037,0.7322080851904029,0.4599686028257457,0.572265625,w4,F4_delta_only,lgbm,1,22122,5416
0.3901616497393491,0.6893431123423281,0.4155299055613851,0.5429616087751371,w4,F4_delta_only,lgbm,2,22136,5402
0.39959232753730656,0.7085283816923272,0.44791370990632984,0.6553156146179402,w4,F4_delta_only,lgbm,3,21904,5634
0.21205713125151354,0.6071540005798887,0.2738138355668236,0.4643734643734644,w4,F4_delta_only,lgbm,4,21826,5712
0.38024951244186395,0.7131554470125331,0.42480505012996655,0.5878725590955807,w4,F4_delta_only,lgbm,5,22164,5374
